official_name,BPM_rep1_WT,BPM_rep2_WT,BPM_rep3_WT
a,1560.303841,1190.976701,1083.73829
Argk,266.3933386,330.0296883,54.18691451
Bsg25D,1103.629546,2554.142805,1322.160714
cact,4389.147389,3802.515974,2806.882172
crc,735.7530305,100.4438182,466.0074648
cv-2,177.5955591,860.947013,1040.388759
CycA,152.2247649,0,65.02429741
dnc,799.1800159,387.4261559,205.9102751
Pka-C3,7788.833806,10345.71327,7065.973652
dpp,215.6517503,272.6332208,0
ed,1458.820664,1564.05374,899.5027809
egl,926.0339867,57.39646753,260.0971896
Eip74EF,2372.169254,1764.941377,1105.413056
for,25.37079416,0,151.7233606
ft,88.79777955,0,238.4224238
ftz-f1,380.5619123,0,10.8373829
fz,114.1685737,186.5385195,249.2598067
klar,177.5955591,258.2841039,195.0728922
crp,152.2247649,86.0947013,195.0728922
sas,380.5619123,530.9173247,726.1046544
robo2,63.42698539,516.5682078,54.18691451
mam,520.1012802,688.7576104,325.1214871
nkd,228.3371474,545.2664416,942.8523125
pk,634.2698539,903.9943637,834.4784835
pnt,38.05619123,100.4438182,411.8205503
Ppn,405.9327065,330.0296883,184.2355093
pum,875.2923984,1234.024052,758.6168031
put,0,14.34911688,32.51214871
pwn,596.2136627,1133.580234,552.706528
px,2701.989578,3357.693351,3576.336358
raw,393.2473094,832.2487792,552.706528
rl,659.6406481,473.5208572,531.0317622
rst,355.1911182,14.34911688,130.0485948
S,710.3822364,473.5208572,801.9663348
Scr,443.9888977,186.5385195,108.373829
Sh,279.0787357,114.7929351,184.2355093
so,482.045089,43.04735065,270.9345726
sr,393.2473094,129.142052,0
Btk29A,228.3371474,14.34911688,108.373829
ptc,38.05619123,0,119.2112119
vn,520.1012802,731.8049611,509.3569964
yrt,342.5057211,416.1243896,260.0971896
Tm2,63.42698539,272.6332208,184.2355093
Ser,329.820324,0,151.7233606
ct,190.2809562,301.3314546,335.95887
T48,418.6181036,401.7752727,140.8859777
Ptp4E,164.910162,0,108.373829
fwd,558.1574714,789.2014286,270.9345726
mew,228.3371474,330.0296883,162.5607435
zfh1,114.1685737,86.0947013,10.8373829
zfh2,837.2362072,559.6155585,292.6093384
retn,266.3933386,358.7279221,97.53644612
Ac76E,342.5057211,932.6925974,205.9102751
cdi,63.42698539,358.7279221,0
bowl,824.5508101,516.5682078,650.2429741
Mbs,1572.989238,1449.260805,1864.029859
ple,482.045089,416.1243896,0
faf,139.5393679,0,216.747658
Rox8,583.5282656,459.1717403,0
bt,38.05619123,114.7929351,205.9102751
dac,317.134927,487.869974,130.0485948
CanA1,355.1911182,0,195.0728922
Galphaf,12.68539708,0,140.8859777
Parp,697.6968393,1764.941377,1159.599971
hep,735.7530305,961.3908312,1332.998097
CycE,241.0225445,373.077039,0
Cyp18a1,875.2923984,530.9173247,563.5439109
cora,253.7079416,889.6452468,552.706528
l(2)01289,837.2362072,1090.532883,1192.112119
simj,241.0225445,0,32.51214871
Gug,1167.056531,1477.959039,400.9831674
bol,596.2136627,2310.207818,1213.786885
heph,0,215.2367533,216.747658
Elk,139.5393679,760.5031948,54.18691451
fng,25.37079416,0,108.373829
Mef2,202.9663533,71.74558442,0
msi,12.68539708,229.5858701,0
wts,126.8539708,28.69823377,10.8373829
PhKgamma,329.820324,71.74558442,422.6579332
Pxn,317.134927,444.8226234,0
mtd,697.6968393,172.1894026,953.6896954
nuf,989.4609721,1320.118753,1029.551376
CASK,126.8539708,0,32.51214871
MAPk-Ak2,913.3485896,358.7279221,1473.884075
Tie,50.74158831,286.9823377,173.3981264
bnl,76.11238247,57.39646753,140.8859777
cher,0,14.34911688,21.6747658
mirr,114.1685737,344.3788052,0
mbc,25.37079416,0,281.7719555
RtGEF,1649.10162,2826.776026,1972.403688
ara,50.74158831,28.69823377,162.5607435
caup,152.2247649,43.04735065,0
wun,799.1800159,344.3788052,281.7719555
CaMKI,329.820324,344.3788052,10.8373829
Dyrk2,177.5955591,272.6332208,140.8859777
sfl,101.4831766,0,238.4224238
mspo,367.8765153,674.4084935,195.0728922
loco,139.5393679,14.34911688,314.2841042
stumps,152.2247649,86.0947013,314.2841042
dve,228.3371474,129.142052,0
Rfx,0,28.69823377,162.5607435
Pdk1,2029.663533,1635.799325,1896.542008
JIL-1,50.74158831,14.34911688,75.86168031
E23,202.9663533,57.39646753,0
Dad,1382.708282,703.1067273,801.9663348
pio,291.7641328,975.7399481,195.0728922
RN-tre,279.0787357,344.3788052,86.69906322
KrT95D,279.0787357,401.7752727,292.6093384
Atet,3640.708961,1635.799325,1929.054157
Spred,114.1685737,114.7929351,0
RpL3,50.74158831,157.8402857,357.6336358
Cad96Ca,139.5393679,0,43.34953161
RhoGEF2,2701.989578,2927.219844,2254.175644
vig,76.11238247,0,65.02429741
trio,317.134927,516.5682078,346.7962529
NK7.1,659.6406481,559.6155585,400.9831674
Dbp80,3437.742608,3529.882753,2297.525175
Optix,190.2809562,0,10.8373829
Scgdelta,558.1574714,86.0947013,43.34953161
bab2,659.6406481,660.0593766,184.2355093
PlexA,1585.674635,2281.509584,1842.355093
Gasp,114.1685737,14.34911688,173.3981264
siz,659.6406481,530.9173247,0
gukh,114.1685737,1190.976701,205.9102751
Nipped-B,748.4384276,717.4558442,693.5925057
Rip11,38.05619123,14.34911688,130.0485948
goe,2600.506401,2295.858701,1257.136417
CG18659,88.79777955,1133.580234,357.6336358
CG6191,761.1238247,1492.308156,997.039227
CG8740,418.6181036,487.869974,682.7551228
drpr,253.7079416,0,422.6579332
Kank,241.0225445,0,162.5607435
cindr,25.37079416,86.0947013,0
obst-B,50.74158831,487.869974,227.5850409
GV1,279.0787357,559.6155585,0
Ptpmeg2,443.9888977,315.6805714,292.6093384
Atf3,152.2247649,86.0947013,21.6747658
Lnk,3196.720064,2468.048104,1690.631733
seq,1141.685737,2898.52161,1495.55884
CG12206,659.6406481,746.1540779,314.2841042
Proc-R,545.4720744,143.4911688,487.6822306
AdamTS-B,304.4495299,387.4261559,97.53644612
pigs,139.5393679,516.5682078,151.7233606
CG14431,0,114.7929351,140.8859777
mahe,76.11238247,0,75.86168031
CG12065,0,703.1067273,270.9345726
CG12075,1090.944149,1650.148442,1593.095287
CG7766,393.2473094,258.2841039,400.9831674
CG15312,114.1685737,0,628.5682083
CG1578,177.5955591,286.9823377,325.1214871
NFAT,507.4158831,330.0296883,617.7308254
Pdcd4,1052.887957,373.077039,260.0971896
Lsd-2,1674.472414,301.3314546,704.4298886
CG9220,570.8428685,258.2841039,390.1457845
CG6847,12.68539708,0,108.373829
Hayan,0,243.934987,108.373829
wgn,76.11238247,0,32.51214871
Pvf1,101.4831766,0,97.53644612
CG7378,4160.810242,1678.846675,1202.949502
kek5,469.3596919,674.4084935,628.5682083
CG14200,0,43.04735065,249.2598067
Cyp6v1,380.5619123,143.4911688,151.7233606
CG17600,1078.258752,272.6332208,812.8037177
nAChRbeta3,190.2809562,57.39646753,184.2355093
CG5001,164.910162,0,260.0971896
Wdr62,0,143.4911688,86.69906322
daw,25.37079416,215.2367533,119.2112119
mxt,393.2473094,243.934987,0
Rchy1,126.8539708,28.69823377,43.34953161
Tsp,482.045089,143.4911688,162.5607435
CG13784,126.8539708,57.39646753,0
CG33298,1420.764473,1908.432546,1354.672863
jp,317.134927,344.3788052,314.2841042
Samuel,520.1012802,358.7279221,476.8448477
Dlg5,190.2809562,0,65.02429741
CG5953,5340.55217,5352.220598,5104.407347
CG17549,3260.147049,3587.279221,2438.411153
CG9265,1458.820664,1033.136416,888.665398
CG8671,0,157.8402857,433.4953161
scaf,304.4495299,387.4261559,216.747658
SCAP,964.090178,918.3434806,639.4055912
CG1360,0,57.39646753,108.373829
CG14764,355.1911182,502.2190909,823.6411006
CG8170,76.11238247,57.39646753,195.0728922
Mmp2,177.5955591,157.8402857,108.373829
Cyp49a1,0,358.7279221,21.6747658
exp,570.8428685,57.39646753,238.4224238
Dh44-R2,63.42698539,0,43.34953161
CG17724,1484.191458,200.8876364,1614.770052
ckn,12.68539708,0,75.86168031
CG8180,443.9888977,602.6629091,314.2841042
CG8405,25.37079416,114.7929351,108.373829
CG10936,659.6406481,215.2367533,10.8373829
Magi,4110.068653,5409.617065,3522.149443
CG4266,1446.135267,1004.438182,1007.87661
CG10082,583.5282656,71.74558442,151.7233606
Liprin-gamma,114.1685737,0,86.69906322
nahoda,646.955251,0,130.0485948
Sesn,253.7079416,516.5682078,520.1943793
sona,2245.315283,1664.497558,1593.095287
Eps-15,2346.798459,1865.385195,1419.69716
Hipk,507.4158831,387.4261559,422.6579332
Sf3b3,152.2247649,0,75.86168031
Iml1,1129.00034,1219.674935,942.8523125
CG12004,761.1238247,703.1067273,184.2355093
spz5,570.8428685,14.34911688,108.373829
CG2162,0,315.6805714,21.6747658
slow,887.9777955,1219.674935,346.7962529
RhoGEF64C,545.4720744,502.2190909,606.8934425
frm,38.05619123,0,173.3981264
Pura,2892.270534,2396.30252,1788.168179
CG13676,380.5619123,330.0296883,86.69906322
PGRP-LC,0,416.1243896,130.0485948
Tat,1268.539708,2338.906052,1289.648565
CrzR,152.2247649,459.1717403,97.53644612
Ncc69,1129.00034,1965.829013,899.5027809
Wbp2,266.3933386,746.1540779,1300.485948
CG17839,25.37079416,1190.976701,346.7962529
CG5151,3995.90008,3185.503948,2785.207406
CG9674,596.2136627,0,498.5196135
MYPT-75D,126.8539708,315.6805714,216.747658
CG3961,672.3260451,617.012026,444.332699
sNPF-R,0,100.4438182,32.51214871
barc,279.0787357,71.74558442,346.7962529
Syn1,139.5393679,0,108.373829
olf413,0,860.947013,140.8859777
CG12581,3234.776255,2668.93574,1398.022394
beta-Man,355.1911182,200.8876364,335.95887
CG17816,2194.573695,674.4084935,1062.063524
CG16779,88.79777955,0,65.02429741
mura,3323.574035,6112.723792,2525.110216
CG8312,266.3933386,617.012026,238.4224238
PK2-R2,126.8539708,157.8402857,173.3981264
foxo,735.7530305,1937.130779,541.8691451
Pde6,1585.674635,1951.479896,1517.233606
CG6040,0,172.1894026,140.8859777
Hs6st,1484.191458,961.3908312,997.039227
RhoGAP93B,849.9216042,243.934987,270.9345726
CG11168,0,530.9173247,10.8373829
Cad99C,837.2362072,545.2664416,932.0149296
PH4alphaEFB,177.5955591,0,270.9345726
nyo,0,229.5858701,65.02429741
ABCD,12.68539708,330.0296883,0
CG11360,317.134927,373.077039,140.8859777
PIP4K,12.68539708,43.04735065,227.5850409
CG11155,1344.65209,1033.136416,325.1214871
Cals,1598.360032,2367.604286,899.5027809
CG41099,164.910162,0,86.69906322
CG13375,25.37079416,0,10.8373829
luna,25.37079416,43.04735065,314.2841042
tai,14829.22918,14076.48366,11530.97541
dlp,114.1685737,129.142052,216.747658
Gdap2,367.8765153,229.5858701,119.2112119
CG30427,367.8765153,0,346.7962529
vir-1,1699.843208,2324.556935,1983.241071
ham,253.7079416,387.4261559,140.8859777
Haspin,482.045089,617.012026,541.8691451
CG30015,1243.168914,961.3908312,1311.323331
metro,76.11238247,0,75.86168031
GEFmeso,152.2247649,71.74558442,227.5850409
CG30377,507.4158831,1363.166104,693.5925057
CG30440,38.05619123,272.6332208,368.4710187
CG31038,76.11238247,0,151.7233606
Lerp,279.0787357,57.39646753,325.1214871
LpR2,1420.764473,1348.816987,1560.583138
ClC-a,0,258.2841039,97.53644612
CG31140,12.68539708,129.142052,140.8859777
CG31145,0,444.8226234,184.2355093
Nlg1,1040.20256,617.012026,1690.631733
SKIP,152.2247649,301.3314546,43.34953161
CG31475,2981.068313,4749.557688,4085.693354
CG31522,152.2247649,0,32.51214871
CG31694,266.3933386,200.8876364,0
CG32017,139.5393679,0,97.53644612
Rbfox1,849.9216042,530.9173247,0
IRSp53,8220.137307,8896.452468,8453.158664
CG32085,291.7641328,243.934987,54.18691451
CG32091,190.2809562,387.4261559,0
SCaMC,50.74158831,401.7752727,86.69906322
CG32264,723.0676335,602.6629091,487.6822306
Mrtf,2625.877195,2195.414883,1571.420521
zormin,545.4720744,229.5858701,812.8037177
CG32333,532.7866773,200.8876364,552.706528
CG32369,837.2362072,373.077039,368.4710187
shep,38.05619123,0,140.8859777
Cda4,456.6742948,545.2664416,292.6093384
CG32982,469.3596919,602.6629091,0
CG33111,5835.282656,5553.108234,4226.579332
CG33143,139.5393679,0,140.8859777
CG33144,761.1238247,1621.450208,1192.112119
Nipped-A,101.4831766,301.3314546,140.8859777
form3,913.3485896,918.3434806,1246.299034
Cadps,101.4831766,71.74558442,0
CG40006,1433.44987,1635.799325,617.7308254
MFS17,570.8428685,459.1717403,812.8037177
Ctr1A,190.2809562,28.69823377,0
CG6006,2752.731166,2224.113117,3001.955064
RhoU,0,286.9823377,314.2841042
Dgk,215.6517503,0,10.8373829
Pvf3,0,129.142052,162.5607435
nub,88.79777955,602.6629091,140.8859777
Rgk3,532.7866773,0,249.2598067
spri,3222.090858,1549.704623,704.4298886
spin,0,315.6805714,21.6747658
mol,900.6631926,473.5208572,455.1700819
chinmo,1052.887957,1721.894026,1116.250439
CG41520,50.74158831,286.9823377,0
5-HT2A,0,530.9173247,227.5850409
rdo,0,502.2190909,86.69906322
puc,1040.20256,387.4261559,346.7962529
Cht10,25.37079416,387.4261559,75.86168031
CG42268,164.910162,401.7752727,130.0485948
Pde9,355.1911182,28.69823377,249.2598067
bun,253.7079416,200.8876364,130.0485948
CG42284,291.7641328,43.04735065,10.8373829
grh,152.2247649,200.8876364,325.1214871
Mob2,190.2809562,28.69823377,650.2429741
crb,0,315.6805714,173.3981264
CG42402,38.05619123,0,173.3981264
kuz,164.910162,545.2664416,531.0317622
serp,304.4495299,401.7752727,54.18691451
ctrip,1471.506061,1535.355507,1094.575673
Gprk1,520.1012802,832.2487792,249.2598067
p120ctn,12.68539708,129.142052,21.6747658
dnr1,0,71.74558442,249.2598067
scny,329.820324,459.1717403,715.2672715
Ubr3,355.1911182,57.39646753,0
vtd,0,186.5385195,21.6747658
CG42598,139.5393679,688.7576104,346.7962529
Cad86C,50.74158831,28.69823377,195.0728922
Xrp1,393.2473094,200.8876364,736.9420373
rgn,0,172.1894026,216.747658
plx,1255.854311,1119.231117,899.5027809
verm,126.8539708,0,260.0971896
sxc,342.5057211,330.0296883,379.3084016
CG42663,1154.371134,86.0947013,791.1289519
ps,887.9777955,1793.63961,2254.175644
CG42673,190.2809562,28.69823377,162.5607435
CG42674,0,660.0593766,411.8205503
Lmpt,215.6517503,301.3314546,303.4467213
pdm3,202.9663533,43.04735065,65.02429741
larp,13776.34123,17305.03496,11704.37353
gce,1763.270194,1277.071403,1029.551376
CG42747,139.5393679,28.69823377,0
aPKC,164.910162,114.7929351,0
mid,862.6070013,703.1067273,531.0317622
Gprk2,469.3596919,487.869974,108.373829
d,279.0787357,301.3314546,10.8373829
RanBPM,139.5393679,272.6332208,0
uex,761.1238247,444.8226234,617.7308254
magu,837.2362072,832.2487792,498.5196135
CG43102,0,143.4911688,617.7308254
Sarm,989.4609721,1420.562571,1517.233606
cic,190.2809562,143.4911688,65.02429741
Myc,50.74158831,143.4911688,43.34953161
fzr,532.7866773,157.8402857,639.4055912
Skeletor,38.05619123,114.7929351,97.53644612
norpA,342.5057211,1147.929351,0
axo,152.2247649,903.9943637,411.8205503
milt,520.1012802,286.9823377,671.9177399
cnc,2181.888297,4261.687714,1506.396223
chas,190.2809562,0,130.0485948
CG31688,1496.876855,1549.704623,541.8691451
Nha2,177.5955591,143.4911688,0
hppy,101.4831766,200.8876364,238.4224238
mld,177.5955591,502.2190909,151.7233606
Myo10A,1344.65209,832.2487792,0
CG17684,63.42698539,444.8226234,270.9345726
esn,0,43.04735065,108.373829
spoon,12.68539708,215.2367533,0
CG43759,1154.371134,932.6925974,834.4784835
Sema2b,811.865413,731.8049611,509.3569964
SNF4Agamma,393.2473094,0,43.34953161
CG17646,1395.393679,817.8996624,639.4055912
Hph,126.8539708,28.69823377,0
CG44085,4249.608021,4132.545662,3262.052254
Src42A,900.6631926,1147.929351,1170.437353
Irk1,342.5057211,258.2841039,0
Cdep,190.2809562,0,10.8373829
Meltrin,12.68539708,200.8876364,173.3981264
Gyg,46263.64314,47079.4525,33996.87016
Trpm,1408.079076,774.8523117,433.4953161
tn,23835.86111,32572.49533,19615.66305
mbl,342.5057211,114.7929351,162.5607435
Smr,545.4720744,1277.071403,227.5850409
CG44422,152.2247649,444.8226234,205.9102751
rdgC,190.2809562,516.5682078,574.3812938
rudhira,50.74158831,0,97.53644612
Pde8,5150.271214,6055.327325,5527.06528
CG45050,2131.146709,2353.255169,1051.226142
sima,1496.876855,1807.988727,1332.998097
Gp210,139.5393679,43.04735065,119.2112119
Svil,1458.820664,2310.207818,1398.022394
mamo,88.79777955,157.8402857,195.0728922
HnRNP-K,596.2136627,1420.562571,151.7233606
Frl,139.5393679,0,65.02429741
ap,291.7641328,71.74558442,270.9345726
InR,126.8539708,0,32.51214871
CG46315,304.4495299,2051.923714,1018.713993
CG46319,431.3035007,243.934987,422.6579332
Ttd14,50.74158831,301.3314546,140.8859777
RpL27A,0,473.5208572,75.86168031
cv-c,202.9663533,172.1894026,422.6579332
CG46339,1902.809562,1764.941377,2362.549473
stw,79753.09143,76394.69829,81334.55868
Pld,1547.618444,1521.00639,964.5270783
